"UH","Reserva","Valor","Data","Hora","Usuário","Qtde","Motivo",""
"102","58384014","26.25","6/12/2022","1:28:15 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"1202","58259732","222.25","6/12/2022","1:13:00 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"201","58317961","78.5","6/12/2022","1:08:53 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"202","58283390","-0.64","6/12/2022","9:27:00 AM","CFIOR","1","ERRO DE LANÇAMENTO",""
"202","58283390","-12.71","6/12/2022","9:27:00 AM","CFIOR","1","ERRO DE LANÇAMENTO",""
"211","58286489","211.5","6/12/2022","1:29:33 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"211","58286489","-0.15","6/12/2022","6:05:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"211","58286489","-0.29","6/12/2022","6:05:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"211","58286489","-3","6/12/2022","6:05:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"211","58286489","-5.87","6/12/2022","6:05:00 PM","CFIOR","1","ERRO DE LANÇAMENTO",""
"311","58270086","-4","6/12/2022","8:12:40 AM","CFIOR","1","HOSPEDE NÃO CONSUMIU",""
"403","58015299","0","6/12/2022","3:07:19 AM","RFELIZ","1","CORTESIA DE DIÁRIAS",""
"403","58015299","-0.01","6/12/2022","3:07:19 AM","RFELIZ","1","CORTESIA DE DIÁRIAS",""
"403","58015299","633.16","6/12/2022","3:06:45 AM","RFELIZ","1","Erro de Laçto",""
"411","58250956","-8","6/12/2022","12:14:55 PM","ECSOUSA","1","ERRO DE LANÇAMENTO",""
"510","58362886","102.5","6/12/2022","1:10:48 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"901","58075798","564.49","6/12/2022","1:38:58 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"905","57939284","310","6/12/2022","1:26:04 AM","RFELIZ","1","ERRO DE LANÇAMENTO",""
"911","58119280","-24","6/12/2022","10:17:00 AM","CFIOR","4","ERRO NA IMPRESSÃO",""
"1001","58397264","26.25","6/13/2022","1:54:04 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"1001","58397264","26.25","6/13/2022","1:51:11 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
"1002","58276254","211.68","6/13/2022","3:21:59 PM","ANLGONCALVES","1","ERRO DE LANÇAMENTO",""
